order_id,customer_id,order_datetime
185997,3,2024-02-05T04:12:42.314266
193117,12,2024-02-05T01:47:38.805650
631220,23,2024-02-05T23:27:58.697119
632065,23,2024-02-05T03:49:35.979575
707068,24,2024-02-05T22:43:16.409566
708348,19,2024-02-05T00:52:54.715308
735124,18,2024-02-05T04:12:11.363113
755057,18,2024-02-05T18:29:15.558604
773459,22,2024-02-05T23:39:13.683149
775868,10,2024-02-05T18:13:52.098944
856161,19,2024-02-05T12:43:35.869982
902007,12,2024-02-05T21:15:09.600081
923151,27,2024-02-05T13:18:45.689692
1060863,19,2024-02-05T06:34:51.806116
1121226,24,2024-02-05T16:52:10.645860
1256799,30,2024-02-05T12:36:13.332401
1472878,12,2024-02-05T04:03:50.445600
1474736,22,2024-02-05T20:11:26.483036
1748872,28,2024-02-05T16:14:47.146138
1845449,4,2024-02-05T00:01:21.509563
2258786,16,2024-02-05T14:38:25.942194
2275312,21,2024-02-05T15:47:36.451007
2285136,6,2024-02-05T10:51:32.029208
2457595,23,2024-02-05T00:17:48.789702
2637208,9,2024-02-05T03:07:42.060246
2661402,14,2024-02-05T18:32:01.498091
2741125,23,2024-02-05T16:00:10.162755
2775883,3,2024-02-05T17:25:53.318978
2782602,9,2024-02-05T22:42:01.635893
2868956,17,2024-02-05T18:41:42.239516
3057587,18,2024-02-05T04:19:25.932746
3058441,21,2024-02-05T18:13:22.538455
3228782,10,2024-02-05T05:23:37.710224
3344535,29,2024-02-05T08:26:31.557920
3365822,8,2024-02-05T14:52:51.381776
3487174,3,2024-02-05T08:23:45.150804
3587588,13,2024-02-05T00:12:44.527633
3595128,20,2024-02-05T06:44:52.980963
3603180,24,2024-02-05T16:05:33.213931
3691201,14,2024-02-05T20:22:36.895591
3774089,27,2024-02-05T09:19:33.238561
3779377,11,2024-02-05T16:02:16.154394
3999801,21,2024-02-05T15:03:07.499873
4077007,28,2024-02-05T14:04:18.375853
4104813,6,2024-02-05T06:47:08.901917
4110364,20,2024-02-05T14:42:12.044793
4189287,10,2024-02-05T02:41:04.489145
4195562,14,2024-02-05T17:23:19.801809
4249475,9,2024-02-05T10:02:46.372859
4411454,14,2024-02-05T21:17:56.494925
4535566,5,2024-02-05T18:21:26.740292
4537437,19,2024-02-05T16:28:06.952251
4616871,26,2024-02-05T14:27:24.532271
4701911,15,2024-02-05T21:27:52.389715
4704343,24,2024-02-05T03:56:48.897788
4889845,22,2024-02-05T19:55:19.845452
4916273,7,2024-02-05T20:58:40.582301
4943179,10,2024-02-05T16:48:47.800304
5012644,24,2024-02-05T14:43:57.071015
5039191,23,2024-02-05T04:04:18.289828
5109274,24,2024-02-05T09:45:49.763540
5136748,15,2024-02-05T00:06:27.025364
5156566,16,2024-02-05T03:18:09.299786
5237589,26,2024-02-05T12:07:47.215878
5402346,6,2024-02-05T17:38:58.380444
5463607,13,2024-02-05T23:14:56.411326
5641512,2,2024-02-05T04:28:19.688309
5712670,27,2024-02-05T01:38:27.753071
5773227,28,2024-02-05T02:24:46.149788
5823981,25,2024-02-05T17:54:24.171184
5848729,14,2024-02-05T08:03:37.755867
5952368,14,2024-02-05T03:59:16.697800
5954607,3,2024-02-05T13:33:28.511793
5980271,19,2024-02-05T07:26:05.907903
6073459,5,2024-02-05T22:00:12.666302
6129701,23,2024-02-05T13:38:12.983116
6264209,18,2024-02-05T09:07:03.050517
6334040,26,2024-02-05T20:59:23.544544
6393889,21,2024-02-05T20:41:57.815412
6417893,22,2024-02-05T07:59:01.790100
6442465,14,2024-02-05T14:55:32.554760
6647006,21,2024-02-05T22:15:10.918728
6677001,19,2024-02-05T06:07:32.554121
6708994,3,2024-02-05T23:18:17.520236
6759266,6,2024-02-05T17:05:55.291484
6840001,24,2024-02-05T10:55:55.001756
6841611,28,2024-02-05T07:36:40.787880
6856716,4,2024-02-05T03:23:37.788910
6914222,24,2024-02-05T13:17:14.522315
6969313,17,2024-02-05T11:53:24.543258
