order_id,product_id,quantity,unit_price,line_total
3142,8,2,5.13,10.26
3142,9,3,0.84,2.52
3142,15,2,5.26,10.52
3142,18,5,6.95,34.75
117774,15,3,5.26,15.78
117774,16,2,8.33,16.66
117774,20,2,1.77,3.54
117774,31,3,3.36,10.08
117774,32,2,0.99,1.98
1330819,2,2,8.50,17.00
1330819,7,1,5.78,5.78
1330819,15,1,5.26,5.26
1330819,28,5,6.81,34.05
1591680,6,1,7.30,7.30
1591680,9,4,0.84,3.36
1591680,11,5,5.99,29.95
1591680,26,2,6.39,12.78
1776127,4,4,3.62,14.48
1776127,8,5,5.13,25.65
1776127,11,3,5.99,17.97
1776127,16,1,8.33,8.33
1964792,5,2,0.79,1.58
1964792,24,5,5.32,26.60
1964792,28,5,6.81,34.05
2012664,7,5,5.78,28.90
2239861,30,2,1.32,2.64
2261088,2,4,8.50,34.00
2261088,3,5,6.79,33.95
2261088,21,5,3.42,17.10
2261088,31,1,3.36,3.36
2484603,4,1,3.62,3.62
2484603,25,3,4.99,14.97
2484603,33,1,1.03,1.03
2486828,4,1,3.62,3.62
2486828,34,2,3.99,7.98
2900430,4,5,3.62,18.10
2906815,35,4,9.07,36.28
3552355,8,1,5.13,5.13
3552355,13,4,1.21,4.84
3552355,19,1,1.65,1.65
3552355,20,1,1.77,1.77
3552355,30,1,1.32,1.32
4177826,4,5,3.62,18.10
4177826,13,3,1.21,3.63
4177826,26,1,6.39,6.39
4177826,33,5,1.03,5.15
4195908,19,2,1.65,3.30
4195908,33,4,1.03,4.12
4440350,15,5,5.26,26.30
4440350,31,2,3.36,6.72
4543049,3,4,6.79,27.16
4543049,6,4,7.30,29.20
4543049,9,4,0.84,3.36
4543049,36,4,1.84,7.36
4673181,2,3,8.50,25.50
4673181,7,5,5.78,28.90
4673181,11,2,5.99,11.98
4673181,13,5,1.21,6.05
4673181,31,4,3.36,13.44
4986371,12,1,0.60,0.60
4986371,14,4,6.94,27.76
4986371,18,5,6.95,34.75
4986371,26,4,6.39,25.56
5089193,3,5,6.79,33.95
5089193,7,2,5.78,11.56
5089193,13,3,1.21,3.63
5089193,16,3,8.33,24.99
5432828,4,3,3.62,10.86
5432828,6,1,7.30,7.30
5432828,13,2,1.21,2.42
5432828,28,4,6.81,27.24
5574575,28,5,6.81,34.05
5740151,2,5,8.50,42.50
6137979,5,4,0.79,3.16
6137979,10,4,7.64,30.56
6137979,17,3,8.12,24.36
6137979,32,3,0.99,2.97
6261239,15,2,5.26,10.52
6261239,20,1,1.77,1.77
6369612,2,3,8.50,25.50
6369612,12,2,0.60,1.20
6369612,22,1,1.50,1.50
6369612,36,4,1.84,7.36
7676596,11,1,5.99,5.99
7676596,27,2,3.98,7.96
7676596,36,1,1.84,1.84
7806399,7,4,5.78,23.12
7806399,10,5,7.64,38.20
7806399,12,4,0.60,2.40
7806399,26,5,6.39,31.95
7808760,6,2,7.30,14.60
7808760,17,5,8.12,40.60
7808760,24,2,5.32,10.64
7931153,3,5,6.79,33.95
7931153,5,3,0.79,2.37
7931153,18,5,6.95,34.75
7931153,25,5,4.99,24.95
8074241,2,4,8.50,34.00
8074241,22,4,1.50,6.00
8074241,23,4,9.05,36.20
8074241,29,5,3.84,19.20
8215493,2,2,8.50,17.00
8215493,19,4,1.65,6.60
8215493,22,4,1.50,6.00
8215493,25,2,4.99,9.98
8215493,36,4,1.84,7.36
8378407,5,1,0.79,0.79
8378407,7,1,5.78,5.78
8378407,26,4,6.39,25.56
8386365,6,4,7.30,29.20
8444752,3,4,6.79,27.16
8444752,32,2,0.99,1.98
8612969,6,2,7.30,14.60
8623362,30,2,1.32,2.64
8623362,33,2,1.03,2.06
8623362,35,5,9.07,45.35
8623362,36,3,1.84,5.52
8647349,2,5,8.50,42.50
8724647,11,3,5.99,17.97
8724647,19,3,1.65,4.95
8857471,7,5,5.78,28.90
8857471,11,5,5.99,29.95
8990823,9,3,0.84,2.52
8990823,10,5,7.64,38.20
8990823,22,3,1.50,4.50
9381647,23,1,9.05,9.05
9507448,22,3,1.50,4.50
9507448,36,2,1.84,3.68
9585987,24,2,5.32,10.64
10070729,18,1,6.95,6.95
10070729,29,1,3.84,3.84
10070729,30,2,1.32,2.64
10383229,4,2,3.62,7.24
10383229,5,2,0.79,1.58
10383229,15,4,5.26,21.04
10383229,22,3,1.50,4.50
10536289,12,2,0.60,1.20
10536289,22,1,1.50,1.50
10536289,24,2,5.32,10.64
10574355,2,3,8.50,25.50
10574355,8,3,5.13,15.39
10574355,18,4,6.95,27.80
10688295,28,4,6.81,27.24
11091759,2,1,8.50,8.50
11091759,9,2,0.84,1.68
11091759,13,4,1.21,4.84
11091759,16,2,8.33,16.66
11204791,13,5,1.21,6.05
11204791,17,3,8.12,24.36
11204791,23,2,9.05,18.10
11204791,27,4,3.98,15.92
11204791,32,1,0.99,0.99
11220562,6,2,7.30,14.60
11220562,18,1,6.95,6.95
