order_id,customer_id,order_datetime
47578,14,2024-02-08T04:10:09.306358
54834,14,2024-02-08T10:36:23.371333
151868,9,2024-02-08T20:28:41.715478
164787,1,2024-02-08T03:45:56.566769
323232,25,2024-02-08T20:33:56.200978
340440,28,2024-02-08T18:44:58.166195
492793,24,2024-02-08T06:54:09.541879
498416,24,2024-02-08T14:12:40.009185
527680,14,2024-02-08T22:19:43.441689
598594,7,2024-02-08T07:04:59.526314
631924,23,2024-02-08T16:32:36.708352
671199,18,2024-02-08T14:42:15.828870
702490,25,2024-02-08T07:49:41.820210
722908,22,2024-02-08T21:55:43.161313
838573,27,2024-02-08T02:15:38.361904
898508,23,2024-02-08T17:54:52.623893
917941,14,2024-02-08T15:15:11.136384
943154,13,2024-02-08T17:56:21.788860
1036925,6,2024-02-08T22:51:11.145281
1051367,1,2024-02-08T13:11:55.069018
1092223,10,2024-02-08T19:08:06.213890
1219585,11,2024-02-08T18:06:43.619981
1227457,17,2024-02-08T03:44:26.314462
1252883,16,2024-02-08T17:01:19.180348
1286282,5,2024-02-08T20:47:57.024452
1294768,24,2024-02-08T05:32:58.316880
1322399,23,2024-02-08T01:26:32.296671
1342174,10,2024-02-08T06:24:45.418100
1556837,17,2024-02-08T23:32:02.902679
1607194,7,2024-02-08T14:34:27.604343
1697147,9,2024-02-08T06:56:08.800882
1858711,13,2024-02-08T15:19:11.887545
1981542,30,2024-02-08T09:17:43.455111
2011716,11,2024-02-08T17:16:00.068978
2056137,11,2024-02-08T06:00:17.149585
2060311,16,2024-02-08T14:48:41.243085
2230293,6,2024-02-08T02:56:02.180332
2244804,7,2024-02-08T05:14:51.755272
2253361,14,2024-02-08T09:13:22.435760
2300873,7,2024-02-08T12:50:54.485631
2400318,3,2024-02-08T01:03:13.782843
2498550,17,2024-02-08T23:38:14.524057
2655151,11,2024-02-08T14:00:55.924159
2683375,27,2024-02-08T08:32:52.256495
2778317,28,2024-02-08T18:42:42.602731
2802404,21,2024-02-08T17:22:51.311915
2822897,12,2024-02-08T09:49:31.182412
2878363,21,2024-02-08T06:01:53.564386
2901527,22,2024-02-08T00:19:53.833285
2935609,9,2024-02-08T22:19:04.031217
2968618,10,2024-02-08T11:17:53.266422
3171205,11,2024-02-08T06:16:36.380061
3193471,2,2024-02-08T09:15:01.770444
3372989,21,2024-02-08T06:42:57.158612
3539762,7,2024-02-08T02:09:54.442245
3540696,28,2024-02-08T08:21:51.195575
3644750,9,2024-02-08T18:12:01.005509
3683895,18,2024-02-08T21:31:27.588826
3797561,23,2024-02-08T19:31:41.827221
3815700,26,2024-02-08T01:56:32.588329
3923529,25,2024-02-08T02:34:13.189752
3959515,10,2024-02-08T18:56:22.661203
3981178,29,2024-02-08T17:46:30.683766
4131845,30,2024-02-08T02:44:18.245851
4274974,16,2024-02-08T02:55:50.966458
4294972,6,2024-02-08T20:15:01.154844
4318098,27,2024-02-08T14:45:46.666552
4340543,29,2024-02-08T00:48:50.553967
4348971,29,2024-02-08T05:47:24.857890
