order_id,product_id,quantity,unit_price,line_total
18736,16,5,8.33,41.65
18736,27,1,3.98,3.98
18736,33,2,1.03,2.06
18736,34,3,3.99,11.97
332486,5,5,0.79,3.95
332486,28,2,6.81,13.62
456847,1,5,3.26,16.30
557542,12,1,0.60,0.60
557542,13,3,1.21,3.63
557542,18,5,6.95,34.75
557542,32,2,0.99,1.98
557542,36,4,1.84,7.36
616958,4,4,3.62,14.48
616958,12,1,0.60,0.60
616958,17,2,8.12,16.24
616958,29,5,3.84,19.20
616958,31,3,3.36,10.08
716798,17,3,8.12,24.36
748774,13,1,1.21,1.21
748774,19,1,1.65,1.65
748774,24,5,5.32,26.60
1063992,6,4,7.30,29.20
1081181,1,5,3.26,16.30
1081181,10,3,7.64,22.92
1081181,26,4,6.39,25.56
1081181,29,5,3.84,19.20
1081181,36,4,1.84,7.36
1091592,28,2,6.81,13.62
1116239,5,2,0.79,1.58
1116239,9,3,0.84,2.52
1116239,11,1,5.99,5.99
1197901,5,2,0.79,1.58
1197901,20,5,1.77,8.85
1343161,25,3,4.99,14.97
1343161,34,5,3.99,19.95
1372757,7,4,5.78,23.12
1428112,32,4,0.99,3.96
1458815,8,3,5.13,15.39
1458815,10,4,7.64,30.56
1458815,28,4,6.81,27.24
1458815,31,1,3.36,3.36
1458815,34,2,3.99,7.98
1659051,2,5,8.50,42.50
1659051,16,4,8.33,33.32
1659051,18,3,6.95,20.85
1659051,26,2,6.39,12.78
1761503,4,1,3.62,3.62
1761503,33,3,1.03,3.09
1910568,12,4,0.60,2.40
1910568,18,3,6.95,20.85
1910568,19,1,1.65,1.65
2061453,29,2,3.84,7.68
2066050,7,2,5.78,11.56
2066050,13,5,1.21,6.05
2066050,21,2,3.42,6.84
2066050,25,3,4.99,14.97
2085880,35,3,9.07,27.21
2284684,10,5,7.64,38.20
2284684,19,3,1.65,4.95
2284684,21,4,3.42,13.68
2284684,23,2,9.05,18.10
2353970,5,4,0.79,3.16
