order_id,customer_id,order_datetime
1259,14,2024-02-03T20:00:52.368937
3142,26,2024-02-01T07:59:39.619409
14538,24,2024-02-04T16:22:51.628262
18736,1,2024-02-06T13:46:01.087235
38989,1,2024-02-07T03:02:34.877526
47578,14,2024-02-08T04:10:09.306358
54834,14,2024-02-08T10:36:23.371333
68412,22,2024-02-04T03:56:04.396009
101143,20,2024-02-03T03:31:39.732908
101557,20,2024-02-07T06:00:19.470400
114064,12,2024-02-04T18:53:43.904119
115256,2,2024-02-09T13:47:50.879325
115537,6,2024-02-07T06:45:40.402370
117774,27,2024-02-01T09:52:55.126724
133041,28,2024-02-07T18:31:55.667224
144076,24,2024-02-10T21:14:35.478405
151868,9,2024-02-08T20:28:41.715478
164787,1,2024-02-08T03:45:56.566769
166628,5,2024-02-10T12:48:12.337053
174452,19,2024-02-07T11:39:23.130126
185997,3,2024-02-05T04:12:42.314266
193117,12,2024-02-05T01:47:38.805650
214922,24,2024-02-04T02:20:20.565503
216364,26,2024-02-09T23:46:28.594678
234646,13,2024-02-07T16:59:06.077070
235426,9,2024-02-04T06:14:34.483453
240528,1,2024-02-09T17:50:24.693168
251537,13,2024-02-09T10:35:36.284180
284184,13,2024-02-10T22:14:23.539853
323232,25,2024-02-08T20:33:56.200978
332486,5,2024-02-06T21:35:58.329205
337782,25,2024-02-09T04:51:22.217844
340440,28,2024-02-08T18:44:58.166195
359926,12,2024-02-09T17:32:52.984909
398725,7,2024-02-09T05:21:00.663295
403461,16,2024-02-04T01:34:21.911724
404302,13,2024-02-03T14:51:00.565133
449419,16,2024-02-07T17:05:34.570487
456847,29,2024-02-06T17:31:59.316348
463428,9,2024-02-03T18:58:21.538592
492793,24,2024-02-08T06:54:09.541879
498416,24,2024-02-08T14:12:40.009185
527680,14,2024-02-08T22:19:43.441689
557542,20,2024-02-06T00:37:41.368126
561688,11,2024-02-04T14:18:14.797657
567502,6,2024-02-10T05:26:37.988690
578900,16,2024-02-09T04:47:39.958786
598594,7,2024-02-08T07:04:59.526314
604579,23,2024-02-04T21:31:15.413502
616958,1,2024-02-06T12:51:14.541080
627264,26,2024-02-09T17:03:04.462948
628220,9,2024-02-04T02:54:42.419910
631220,23,2024-02-05T23:27:58.697119
631924,23,2024-02-08T16:32:36.708352
632065,23,2024-02-05T03:49:35.979575
670827,27,2024-02-09T23:04:50.112705
671199,18,2024-02-08T14:42:15.828870
695562,6,2024-02-09T02:57:14.266517
702490,25,2024-02-08T07:49:41.820210
707068,24,2024-02-05T22:43:16.409566
708348,19,2024-02-05T00:52:54.715308
713636,12,2024-02-07T01:40:17.659069
716798,23,2024-02-06T15:55:46.797650
722908,22,2024-02-08T21:55:43.161313
735124,18,2024-02-05T04:12:11.363113
741262,22,2024-02-07T19:44:57.078557
748774,3,2024-02-06T06:06:39.215370
755057,18,2024-02-05T18:29:15.558604
761676,16,2024-02-04T09:31:34.227019
765111,12,2024-02-09T18:35:03.135692
773459,22,2024-02-05T23:39:13.683149
775868,10,2024-02-05T18:13:52.098944
784782,9,2024-02-10T06:25:18.553349
816568,27,2024-02-07T17:44:55.668635
838573,27,2024-02-08T02:15:38.361904
856161,19,2024-02-05T12:43:35.869982
898508,23,2024-02-08T17:54:52.623893
902007,12,2024-02-05T21:15:09.600081
917941,14,2024-02-08T15:15:11.136384
923151,27,2024-02-05T13:18:45.689692
938489,16,2024-02-07T05:07:35.537460
943154,13,2024-02-08T17:56:21.788860
965840,28,2024-02-02T21:59:52.264438
967507,23,2024-02-07T23:09:46.515924
971445,20,2024-02-07T22:52:53.455062
972010,20,2024-02-04T07:06:42.000654
1036925,6,2024-02-08T22:51:11.145281
1051367,1,2024-02-08T13:11:55.069018
1055185,17,2024-02-04T15:46:01.799897
1060863,19,2024-02-05T06:34:51.806116
1063992,24,2024-02-06T02:32:43.097065
1077773,24,2024-02-07T09:12:16.118835
1081181,27,2024-02-06T06:57:08.247381
1091592,15,2024-02-06T08:07:05.140737
