order_id,product_id,quantity,unit_price,line_total
1259,7,2,5.78,11.56
1259,14,3,6.94,20.82
1259,23,1,9.05,9.05
1259,29,3,3.84,11.52
101143,5,5,0.79,3.95
101143,32,4,0.99,3.96
101143,35,4,9.07,36.28
101143,36,2,1.84,3.68
404302,21,4,3.42,13.68
404302,34,3,3.99,11.97
463428,15,3,5.26,15.78
463428,25,5,4.99,24.95
1180350,6,3,7.30,21.90
1180350,21,1,3.42,3.42
1180350,35,3,9.07,27.21
1180350,36,5,1.84,9.20
1292258,21,2,3.42,6.84
1615472,6,3,7.30,21.90
1615472,12,5,0.60,3.00
1615472,13,5,1.21,6.05
1615472,23,2,9.05,18.10
1615472,34,5,3.99,19.95
2178135,4,3,3.62,10.86
2178135,18,2,6.95,13.90
2178135,19,3,1.65,4.95
2178135,21,5,3.42,17.10
2283710,8,4,5.13,20.52
2283710,23,5,9.05,45.25
2460147,9,5,0.84,4.20
2460147,16,3,8.33,24.99
2460147,25,3,4.99,14.97
2460147,26,2,6.39,12.78
2920064,6,5,7.30,36.50
2974591,12,4,0.60,2.40
3007105,15,4,5.26,21.04
3007105,22,2,1.50,3.00
3332543,4,1,3.62,3.62
3332543,22,4,1.50,6.00
3427383,26,1,6.39,6.39
3737131,15,2,5.26,10.52
3737131,34,5,3.99,19.95
3749813,4,3,3.62,10.86
3749813,10,5,7.64,38.20
3749813,24,5,5.32,26.60
3749813,27,5,3.98,19.90
3804958,5,2,0.79,1.58
3804958,21,2,3.42,6.84
3861113,1,2,3.26,6.52
3861113,21,3,3.42,10.26
3861113,32,3,0.99,2.97
3861113,36,4,1.84,7.36
4628502,17,3,8.12,24.36
4628502,35,5,9.07,45.35
4792646,11,1,5.99,5.99
4920960,15,4,5.26,21.04
4920960,20,3,1.77,5.31
5243713,2,3,8.50,25.50
5243713,3,3,6.79,20.37
5243713,6,4,7.30,29.20
5243713,12,4,0.60,2.40
5243713,35,1,9.07,9.07
5278173,2,4,8.50,34.00
5278173,10,4,7.64,30.56
5452553,15,4,5.26,21.04
5452553,17,2,8.12,16.24
5452553,31,3,3.36,10.08
5566734,34,4,3.99,15.96
5764139,6,4,7.30,29.20
5764139,18,1,6.95,6.95
5764139,22,2,1.50,3.00
5764139,25,1,4.99,4.99
5764139,36,3,1.84,5.52
5923450,8,5,5.13,25.65
5923450,19,1,1.65,1.65
5923450,25,3,4.99,14.97
5923450,35,3,9.07,27.21
6213104,7,5,5.78,28.90
6213104,8,3,5.13,15.39
6213104,17,3,8.12,24.36
6278191,6,2,7.30,14.60
6278191,18,1,6.95,6.95
6791246,2,1,8.50,8.50
6791246,6,2,7.30,14.60
6791246,13,5,1.21,6.05
6791246,14,2,6.94,13.88
6791246,16,2,8.33,16.66
6868731,14,4,6.94,27.76
6868731,17,4,8.12,32.48
