order_id,product_id,quantity,unit_price,line_total
185997,5,2,0.79,1.58
185997,20,5,1.77,8.85
193117,10,5,7.64,38.20
193117,11,1,5.99,5.99
193117,20,5,1.77,8.85
193117,36,1,1.84,1.84
631220,6,4,7.30,29.20
631220,20,3,1.77,5.31
631220,29,4,3.84,15.36
631220,33,3,1.03,3.09
632065,6,4,7.30,29.20
632065,31,5,3.36,16.80
632065,35,4,9.07,36.28
632065,36,4,1.84,7.36
707068,5,1,0.79,0.79
707068,19,1,1.65,1.65
707068,22,1,1.50,1.50
707068,23,5,9.05,45.25
707068,27,1,3.98,3.98
708348,20,1,1.77,1.77
735124,17,4,8.12,32.48
735124,25,3,4.99,14.97
735124,27,5,3.98,19.90
735124,30,4,1.32,5.28
755057,17,3,8.12,24.36
755057,19,4,1.65,6.60
755057,21,1,3.42,3.42
755057,25,4,4.99,19.96
773459,13,4,1.21,4.84
773459,20,2,1.77,3.54
773459,34,1,3.99,3.99
773459,35,5,9.07,45.35
775868,2,4,8.50,34.00
775868,29,3,3.84,11.52
856161,6,3,7.30,21.90
856161,10,4,7.64,30.56
856161,22,3,1.50,4.50
856161,30,3,1.32,3.96
902007,5,4,0.79,3.16
902007,27,1,3.98,3.98
923151,4,5,3.62,18.10
923151,9,1,0.84,0.84
1060863,5,4,0.79,3.16
1060863,8,1,5.13,5.13
1060863,14,4,6.94,27.76
1060863,18,3,6.95,20.85
1060863,27,4,3.98,15.92
1121226,25,4,4.99,19.96
1256799,7,3,5.78,17.34
1256799,12,4,0.60,2.40
1256799,29,5,3.84,19.20
1472878,9,1,0.84,0.84
1472878,25,1,4.99,4.99
1474736,8,1,5.13,5.13
1474736,17,4,8.12,32.48
1474736,32,5,0.99,4.95
1748872,13,5,1.21,6.05
1748872,24,3,5.32,15.96
1748872,27,5,3.98,19.90
1748872,31,4,3.36,13.44
1748872,35,5,9.07,45.35
1845449,14,5,6.94,34.70
1845449,34,5,3.99,19.95
1845449,36,2,1.84,3.68
2258786,21,5,3.42,17.10
2258786,22,2,1.50,3.00
2258786,34,5,3.99,19.95
2275312,9,4,0.84,3.36
2275312,34,2,3.99,7.98
2285136,2,1,8.50,8.50
2285136,21,3,3.42,10.26
2457595,15,3,5.26,15.78
2457595,16,5,8.33,41.65
2457595,36,4,1.84,7.36
2637208,2,4,8.50,34.00
2637208,7,5,5.78,28.90
2637208,12,1,0.60,0.60
2661402,6,3,7.30,21.90
2741125,5,3,0.79,2.37
